,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
231,Rich in Love,Bruno Garotti Anita Barbosa,,,,Danilo Mesquita Giovanna Lancellotti Fernanda Paes Leme,,,,,Netflix,30 April 2020 (Brazil),104 minutes,Brazil,Portuguese,,,104,,,30-04-20,,,,Bruno Garotti Sylvio Gonçalves,Ananã Produções,,,,,,Ricos de Amor,,,,,,,,,,,,,,,
232,All Day and a Night,Joe Robert Cole,Nina Jacobson Brad Simpson Jared Ian Goldman,,,Ashton Sanders Jeffrey Wright Regina Taylor Yahya Abdul-Mateen II,Michael Abels,Jessica Lee Gagné,Mako Kamitsuna,,Netflix,"May 1, 2020 (United States)",121 minutes,United States,English,,,121,,,01-05-20,,,,Joe Robert Cole,Color Force Mighty Engine,,,,,,,,,,,,,,,,,,,,,
233,Mrs. Serial Killer,Shirish Kunder,Farah Khan Shirish Kunder,,,Jacqueline Fernandez Manoj Bajpayee Mohit Raina,Shirish Kunder,Ravi K. Chandran Kiran Deohans,Shirish Kunder,,Netflix,01-May-20,106 minutes,India,Hindi,,,106,,,01-05-20,,,,Shirish Kunder,Three's Company Productions Pvt.Ltd,,,,,,,,,,,,,,,,,,,,,
234,The Half of It,Alice Wu,Anthony Bregman M. Blair Breard Alice Wu,,,Leah Lewis Daniel Diemer Alexxis Lemire,Anton Sanko,Greta Zozula,Ian Blume Lee Percy,,Netflix,"May 1, 2020 (United States)",104 minutes,United States,English,,,104,,,01-05-20,,,,Alice Wu,Likely Story,,,,,,,,,,,,,,,,,,,,,
235,The Wrong Missy,Tyler Spindel,Kevin Grady Allen Covert Judit Maull,,,"David Spade Lauren Lapkus Nick Swardson Geoff Pierson Jackie Sandler Sarah Chalke Rob Schneider Chris Witaske Joe ""Roman Reigns"" Anoai Molly Sims",Mateo Messina,Theo van de Sande,Brian Robinson J.J. Titone,,Netflix,13-May-20,90 minutes,United States,English,,,90,,,13-05-20,,,,Chris Pappas Kevin Barnett,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
236,The Lovebirds,Michael Showalter,Tom Lassally Oly Obst Martin Gero Todd Schulman Jordana Mollick,Aaron Abrams Brendan Gall,,Kumail Nanjiani Issa Rae Paul Sparks Anna Camp Kyle Bornheimer,Michael Andrews,Brian Burgoyne,Robert Nassau Vince Filippone,Paramount Pictures MRC 3 Arts Entertainment Quinn's House,Netflix,"May 22, 2020 (United States)",87 minutes,United States,English,$16 million,,87,16000000,,22-05-20,,,,,,Aaron Abrams Brendan Gall Martin Gero,,,,,,,,,,,,,,,,,,,,
237,I'm No Longer Here,Fernando Frías de la Parra,"Gerardo Gatica, Alberto Muffelmann, Gerry Kim, Fernando Frías de la Parra",,,"['Juan Daniel Garcia Treviño', 'Yahir Alday', 'Angelina Chen']",,Damian Garcia,Yibrán Asuad and Fernando Frías de la Parra,,Netflix,"October 21, 2019 (Morelia International Film Festival) 
                   May 27, 2020 (Netflix)",112 minutes,"['Mexico', 'United States']",Spanish,,,112,,,21-10-19,,,,Fernando Frías de la Parra,"Panorama Global, PPW Films",,,,Ya no estoy aquí,,,,,,,,,,,,,,,,,
238,Intuition,Alejandro Montiel,,,,Luisana Lopilato Joaquín Furriel Rafael Ferro,,,,FAM Contenidos,Netflix,28-May-20,116 minutes,Argentina,Spanish,,,116,,,28-05-20,,,,Alejandro Montiel,,,,,La corazonada,,,,,,,,,,,,,,,,,
239,Choked,Anurag Kashyap,"['JAR Pictures', 'Anurag Kashyap', 'Dhruv Jagasia', 'Akshay Thakker']",,,Saiyami Kher Roshan Mathew Amruta Subhash Rajshri Deshpande,Karsh Kale,Sylvester Fonseca,Konark Saxena,,Netflix,05-Jun-20,114 minutes,India,Hindi,,,114,,,05-06-20,,,,Nihit Bhave,"['JAR Pictures', 'Good Bad Films']",,,,,,,,,,,,,,,,,,,,,
240,The Last Days of American Crime,Olivier Megaton,Jesse Berger Jason Michael Berman Barry Levine,Karl Gajdusek,"['The Last Days of American Crime', 'by', 'Rick Remender', 'Greg Tocchini']",Édgar Ramírez Michael Pitt Anna Brewster Patrick Bergin Sharlto Copley,David Menke The Limiñanas,Daniel Aranyó,Mickael Dumontier,,Netflix,05-Jun-20,149 minutes,United States,English,,,149,,,05-06-20,,,,,Radical Studios Mandalay Pictures,,,,,,,,,,,,,,,,,,,,,
241,Da 5 Bloods,Spike Lee,Jon Kilik Spike Lee Beatriz Levin Lloyd Levin,,,Delroy Lindo Jonathan Majors Clarke Peters Norm Lewis Isiah Whitlock Jr. Mélanie Thierry Paul Walter Hauser Jasper Pääkkönen Jean Reno Chadwick Boseman,Terence Blanchard,Newton Thomas Sigel,Adam Gough,40 Acres and a Mule Filmworks Rahway Road Lloyd Levin/Beatriz Levin Production,Netflix,"June 12, 2020 (United States)",156 minutes,United States,English,$35–45 million,,156,35000000,,12-06-20,,,,Danny Bilson Paul De Meo Kevin Willmott Spike Lee,,,,,,,,,,,,,,,,,,,,,,
242,A Whisker Away,Junichi Sato Tomotaka Shibayama,,,,Mirai Shida Natsuki Hanae Hiroaki Ogi,Mina Kubota,,,,Netflix,18-Jun-20,104 minutes,Japan,Japanese,,,104,,,18-06-20,,,,Mari Okada,"['Studio Colorido', 'Toho Animation', 'Twin Engine']",,,,,,,,,,,"Wanting to Cry, I Pretend to Be a Cat",,,,,,,,,,
243,Feel the Beat,Elissa Down,Susan Cartsonis,,,Sofia Carson Enrico Colantoni Wolfgang Novogratz,Michael Yezerski,Amir Mokri,,Resonate Entertainment Bitter Boy Productions Ltd. DeluxeFAM Contenidos,Netflix,19-Jun-20,107 minutes,United States,English,,,107,,,19-06-20,,,,Michael Armbruster Shawn Ku,,,,,,,,,,,,,,,,,,,,,,
244,Lost Bullet,Guillaume Pierret,,,,Alban Lenoir Nicolas Duvauchelle Ramzy Bedia,,,,Inoxy Films Nolita TV Versus Production,Netflix,19-Jun-20,92 minutes,France,French,,,92,,,19-06-20,,,,Guillaume Pierret Alban Lenoir Kamel Guemra,,,,Balle perdue,,,,,,,,,,,,,,,,,,
245,One-Way to Tomorrow,Ozan Açıktan,,,,Metin Akdülger Dilan Çiçek Deniz Tevfik Kartal,,,,OG Medya PToT Films,Netflix,19-Jun-20,90 minutes,Turkey,Turkish,,,90,,,19-06-20,,,,Faruk Ozerten,,,,,,,,,,,,,Yarına Tek Bilet,,,,,,,,,
246,Bulbbul,Anvita Dutt,"['Anushka Sharma', 'Karnesh Ssharma']",,,Tripti Dimri Avinash Tiwary Paoli Dam Rahul Bose Parambrata Chatterjee,Amit Trivedi,Siddharth Diwan,Rameshwar S. Bhagat,,Netflix,24-Jun-20,94 minutes,India,Hindi,,,94,,,24-06-20,,,,Anvita Dutt,Clean Slate Filmz,,,,,,,,,,,,,,,,,,,,,
247,Nobody Knows I'm Here,Gaspar Antillo,,,,Jorge Garcia Millaray Lobos Nelson Brodt Juan Falcón Julio Fuentes,,,,Fabula,Netflix,24-Jun-20,100 minutes,Chile,Spanish,,,100,,,24-06-20,,,,,,,,,Nadie Sabe Que Estoy Aquí,,,,,,,,,,,,,,,,,
248,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,Will Ferrell Jessica Elbaum Chris Henchy,,,Will Ferrell Rachel McAdams Dan Stevens Melissanthi Mahut Mikael Persbrandt Ólafur Darri Ólafsson Graham Norton Demi Lovato Pierce Brosnan,Atli Örvarsson,Danny Cohen,Greg Hayden,,Netflix,26-Jun-20,123 minutes,United States,English,,,123,,,26-06-20,,,,Will Ferrell Andrew Steele,Gary Sanchez Productions Gloria Sanchez Productions EBU,,,,,,,,,,,,,,,,,,,,,
249,Under the Riccione Sun,Younuts,,,,Isabella Ferrari Lorenzo Zurzolo Ludovica Martino,,,,Lucky Red Mediaset New International,Netflix,01-Jul-20,101 minutes,Italy,Italian,,,101,,,01-07-20,,,,Caterina Salvadori Enrico Vanzina,,,,,,Sotto il sole di Riccione,,,,,,,,,,,,,,,,
250,Desperados,LP,Nathan Kahane Erin Westerman Kelli Konop Mason Novick John Finemore Elizabeth Grave,,,Nasim Pedrad Anna Camp Lamorne Morris Sarah Burns Jessica Chaffin Toby Grey Mo Gaffney Izzy Diaz Robbie Amell Heather Graham Jessica Lowe,Mateo Messina,Tim Orr,Christian Hoffman,Good Universe MXN Entertainment Lost City,Netflix,03-Jul-20,105 minutes,United States,English,,,105,,,03-07-20,,,,Ellen Rapoport,,,,,,,,,,,,,,,,,,,,,,
251,The Old Guard,Gina Prince-Bythewood,David Ellison Dana Goldberg Don Granger Charlize Theron A.J. Dix Beth Kono Marc Evans,Greg Rucka,"['The Old Guard', 'by Greg Rucka', 'Leandro Fernández']",Charlize Theron KiKi Layne Marwan Kenzari Luca Marinelli Harry Melling Veronica Ngo Matthias Schoenaerts Chiwetel Ejiofor,Volker Bertelmann Dustin O'Halloran,Tami Reiker Barry Ackroyd,Terilyn A. Shropshire,,Netflix,"July 10, 2020 (United States)",125 minutes,United States,English,$70 million,,125,70000000,,10-07-20,,,,,Skydance Media Denver and Delilah Productions Marc Evans Productions,,,,,,,,,,,,,,,,,,,,,
252,The Players,Stefano Mordini,,,,Riccardo Scamarcio Valerio Mastandrea Laura Chiatti,,,,102 Distribution HT Film Indigo Film,Netflix,15-Jul-20,88 minutes,Italy,Italian,,,88,,,15-07-20,,,,Filippo Bologna Stefano Mordini,,,,,,Gli infedeli,,,,,,,,,,,,,,,,
253,Fatal Affair,Peter Sullivan,Barry Barnholtz Nia Long Jeffrey Schenck,,,Nia Long Omar Epps Stephen Bishop KJ Smith,Matthew Janszen,Eitan Almagor,Randy Carter,,Netflix,16-Jul-20,89 minutes,United States,English,,,89,,,16-07-20,,,,Rasheeda Garner Peter Sullivan,Hybrid Films,,,,,,,,,,,,,,,,,,,,,
254,Offering to the Storm,Fernando González Molina,,,,Marta Etura Leonardo Sbaraglia Paco Tous,,,,ARTE Atresmedia Cine Nadcon Film,Netflix,24-Jul-20,139 minutes,Spain Germany,Spanish/ English,,,139,,,24-07-20,,,,Luiso Berdejo Dolores Redondo,,,,,Ofrenda a la tormenta,,,,,,,,,,,,,,,,,
255,The Kissing Booth 2,Vince Marcello,Ed Glauser Andrew Cole-Bulgin Vince Marcello Michele Weisler,Vince Marcello Jay Arnold,"['The Kissing Booth', 'by Beth Reekles']",Joey King Joel Courtney Jacob Elordi Maisie Richardson-Sellers Taylor Zakhar Perez Molly Ringwald,Patrick Kirst,Anastas N. Michos,Paul Millspaugh,Picture Loom Productions Clearblack Films Komixx Entertainment,Netflix,24-Jul-20,131 minutes,United States,English,,,131,,,24-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Seriously Single,Katleho Ramaphakela Rethabile Ramaphakela,,,,Fulu Mugovhani Tumi Morake Bohang Moeko,,,,Burnt Onion Productions,Netflix,31-Jul-20,107 minutes,South Africa,English,,,107,,,31-07-20,,,,Lwazi Mvusi,,,,,,,,,,,,,,,,,,,,,,
257,Raat Akeli Hai,Honey Trehan,"['Abhishek Chaubey', 'Ronnie Screwvala']",,,Nawazuddin Siddiqui Radhika Apte Shweta Tripathi Aditya Srivastava Tigmanshu Dhulia Gyanendra Tripathi Shivani Raghuvanshi Nitesh Kumar,"['Score:', 'Karan Kulkarni', 'Songs:', 'Sneha Khanwalkar']",Pankaj Kumar,A. Sreekar Prasad,,Netflix,31-Jul-20,150 minutes,India,Hindi,,,150,,,31-07-20,,,,Smita Singh,"['RSVP Movies', 'Macguffin Pictures']",,,,,,,,,,,,,,,,,,,,,
258,Work It,Laura Terruso,Alicia Keys Leslie Morgenstein Elysa Koplovitz Dutton,,,Sabrina Carpenter Liza Koshy Keiynan Lonsdale Michelle Buteau Jordan Fisher,Germaine Franco,Rogier Stoffers,Andrew Marcus,A.K. Worldwide Productions Alloy Entertainment STXfilms,Netflix,"August 7, 2020 (United States)",93 minutes,United States,English,,,93,,,07-08-20,,,,Alison Peck,,,,,,,,,,,,,,,,,,,,,,
259,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"['Karan Johar', 'Zee Studios', 'Hiroo Yash Johar', 'Apoorva Mehta']",,,"['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi']","['Score:', 'John Stewart Eduri', 'Songs:', 'Amit Trivedi']",Manush Nandan,Nitin Baid,,Netflix,12-Aug-20,112 minutes,India,Hindi,,,112,,,12-08-20,,,,"['Nikhil Mehrotra', 'Sharan Sharma']","['Dharma Productions', 'Zee Studios']",,,,,,,,,,,,,,,,,,,,,
260,Project Power,Henry Joost Ariel Schulman,Eric Newman Bryan Unkeless,,,Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Rodrigo Santoro Colson Baker Allen Maldonado Amy Landecker Courtney B. Vance,Joseph Trapanese,Michael Simmonds,Jeff McEvoy,Screen Arcade Supermarche,Netflix,"August 14, 2020 (United States)",114 minutes,United States,English,$85.1 million,,114,85100000,,14-08-20,,,,Mattson Tomlin,,,,,,,,,,,,,,,,,,,,,,
261,Fearless,Cory Edwards,John H. Williams Danielle Sterling Patrick Worlock Robyn Klein,Cory Edwards John Murphy,,Yara Shahidi Miles Robbins Jadakiss,Anne-Kathrin Dern,,Rob Neal,3QU Media Vanguard Animation New Hero Cinesite,Netflix,14-Aug-20,89 minutes,"['Canada', 'United States']",English,,,89,,,14-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Crazy Awesome Teachers,Sammaria Simanjuntak,,,,Gading Marten Boris Bokir Kevin Ardilova,,,,Base Entertainment,Netflix,17-Aug-20,101 minutes,Indonesia,Indonesian,,,101,,,17-08-20,,,,Rahabi Mandra Dian Sastrowardoyo Tanya Yuson,,,,,,,,,,,,,,Guru-Guru Gokil,,,,,,,,
263,The Crimes That Bind,Sebastián Schindel,,,,Cecilia Roth Miguel Ángel Solá Sofía Gala Castiglione,,,,Buffalo Films Magoya Films Tieless Media,Netflix,20-Aug-20,99 minutes,Argentina,Spanish,,,99,,,20-08-20,,,,Pablo Del Teso Sebastián Schindel,,,,,Crímenes de familia,,,,,,,,,,,,,,,,,
264,The Sleepover,Trish Sie,Mickey Liddell Pete Shilaimon,,,Sadie Stanley Maxwell Simkins Cree Cicchino Lucas Jaye Ken Marino Joe Manganiello Malin Åkerman,Germaine Franco,Conrad W. Hall,Jonathan Schwartz,LD Entertainment,Netflix,"August 21, 2020 (United States)",100 minutes,United States,English,,,100,,,21-08-20,,,,Sarah Rothschild,,,,,,,,,,,,,,,,,,,,,,
265,Class of '83,Atul Sabharwal,Gauri Khan Shah Rukh Khan Gaurav Verma,,"['The Class of 83', 'by', 'Hussain Zaidi']",Bobby Deol,Viju Shah,Mario Poljac,Manas Mittal,Red Chillies Entertainment,Netflix,21-Aug-20,98 minutes,India,Hindi,,,98,,,21-08-20,,,,Abhijeet Deshpande,,,,,,,,,,,,,,,,,,,,,,
266,Dark Forces,Bernardo Arellano,,,,Mauricio Aspe Johana Fragoso Blendl Dale Carley,,,,Biznaga Films Corazón Films,Netflix,21-Aug-20,81 minutes,Mexico,Spanish,,,81,,,21-08-20,,,,Bernardo Arellano,,,,,Fuego negro,,,,,,,,,,,,,,,,,
267,All Together Now,Brett Haley,Ellen Goldsmith-Vein Lee Stollman Isaac Klausner Marty Bowen,Matthew Quick Brett Haley Marc Basch,"['Sorta Like a Rockstar', 'by Matthew Quick']",Auliʻi Cravalho Rhenzy Feliz Judy Reyes Justina Machado Taylor Richardson C.S. Lee Anthony Jacques Jr. Gerald Issac Waters Fred Armisen Carol Burnett,Keegan DeWitt,Rob C. Givens,Mollie Goldstein,Gotham Group Thunderhead Pictures,Netflix,"August 28, 2020 (United States)",92 minutes,United States,English,,,92,,,28-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Unknown Origins,David Galán Galindo,,,"['Orígenes Secretos', 'by David Galán Galindo']",Verónica Echegui Javier Rey,Federico Jusid,Rita Noriega,Leire Alonso Martí Roca,In Post We Trust La Chica de la Curva Nadie es Perfecto,Netflix,28-Aug-20,100 minutes,Spain,Spanish,,,100,,,28-08-20,,,,David Galán Galindo Fernando Navarro,,,,,Orígenes secretos,,,,,,,,,,,,,,,,,
269,Freaks: You're One of Us,Felix Binder,,,,Finnlay Berger Thelma Buabeng Gisa Flake,,,,,Netflix,02-Sep-20,92 minutes,Germany,German,,,92,,,02-09-20,,,,Marc O. Seng,,,,,,,,,,,,,,,Freaks - Du bist eine von uns,,,,,,,
270,"Love, Guaranteed",Mark Steven Johnson,Rachael Leigh Cook Dan Spilo Stephanie Slack Margret H. Huddleston,,,Rachael Leigh Cook Damon Wayans Jr. Caitlin Howden Jed Rees Lisa Durupt Sean Amsing Brendan Taylor Alvin Sanders Kandyse McClure Heather Graham,Ryan Shore,José David Montero,Kathryn Himoff,Off Camera Entertainment Industry Entertainment,Netflix,"September 3, 2020 (United States)",90 minutes,United States,English,,,90,,,03-09-20,,,,Elizabeth Hackett Hilary Galanoy,,,,,,,,,,,,,,,,,,,,,,
271,I'm Thinking of Ending Things,Charlie Kaufman,Anthony Bregman Charlie Kaufman Robert Salerno Stephanie Azpiazu,Charlie Kaufman,"[""I'm Thinking of Ending Things"", 'by', 'Iain Reid']",Jesse Plemons Jessie Buckley Toni Collette David Thewlis,Jay Wadley,Łukasz Żal,Robert Frazen,Likely Story Projective Testing Service,Netflix,"September 4, 2020 (United States)",134 minutes,United States,English,,,134,,,04-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,
272,The Babysitter: Killer Queen,McG,McG Mary Viola Zack Schiller,,"['Characters', 'by', 'Brian Duffield']",Judah Lewis Emily Alyn Lind Jenna Ortega Robbie Amell Andrew Bachelor Leslie Bibb Hana Mae Lee Bella Thorne Samara Weaving Ken Marino,Bear McCreary,Scott Henriksen,Martin Bernfeld,Wonderland Sound & Vision Boies/Schiller Film Group,Netflix,"September 10, 2020 (United States)",101 minutes,United States,English,,,101,,,10-09-20,,,,Dan Lagana Brad Morris Jimmy Warden McG,,,,,,,,,,,,,,,,,,,,,,
273,Dad Wanted,Javier Colinas,,,,Juan Pablo Medina Ela Velden Silvia Navarro,,,,,Netflix,11-Sep-20,102 minutes,Mexico,Spanish,,,102,,,11-09-20,,,,Victor Avelar Javier Colinas Paulette Hernandez Fernando Barreda Luna,,,,,Se busca papá,,,,,,,,,,,,,,,,,
274,The Devil All the Time,Antonio Campos,Jake Gyllenhaal Riva Marker Randall Poster Max Born,Antonio Campos Paulo Campos,"['The Devil All the Time', 'by', 'Donald Ray Pollock']",Tom Holland Bill Skarsgård Riley Keough Jason Clarke Sebastian Stan Haley Bennett Eliza Scanlen Mia Wasikowska Robert Pattinson,Danny Bensi Saunder Jurriaans,Lol Crawley,Sofía Subercaseaux,,Netflix,"September 11, 2020 (United States)",138 minutes,United States,English,,,138,,,11-09-20,,,,,Nine Stories Productions Bronx Moving Company,,Donald Ray Pollock,,,,,,,,,,,,,,,,,,,
275,The Paramedic,Carles Torras,,,,Celso Bugallo Mario Casas Déborah François,,,,,Netflix,16-Sep-20,,Spain,Spanish,,,,,,16-09-20,,,,David Desola Hèctor Hernández Vicens,Netflix,,,,El Practicante,,,,,,,,,,,,,,,,,
276,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"['Ekta Kapoor', 'Shobha Kapoor']",,,"['Konkona Sen Sharma', 'Bhumi Pednekar']","['Score:', 'Mangesh Dhakde', 'Songs:', 'Arjuna Harjai', 'Clinton Cerejo', 'Sadhu S Tiwari']",John Jacob Payyapalli,Charu Shree Roy,,Netflix,4 October 2019 (Busan) 18 September 2020 (Netflix),120 minutes,India,Hindi,,,120,,,04-10-19,,,,,"['Balaji Motion Pictures', 'ALT Entertainment']",,,,,,,,,,,,,,,,,,,,,
277,Whipped,Chandra Liow,,,,Andovi Da Lopez Jovial Da Lopez Tommy Limm,,,,,Netflix,18-Sep-20,97 minutes,Indonesia,Indonesian,,,97,,,18-09-20,,,,Jovial Da Lopez,,,,,,,,,,,,,,Bucin,,,,,,,,
278,Enola Holmes,Harry Bradbeer,Mary Parent Alex Garcia Ali Mendes Millie Bobby Brown Paige Brown,Jack Thorne,"['The Enola Holmes Mysteries: The Case of the Missing Marquess', 'by', 'Nancy Springer']",Millie Bobby Brown Sam Claflin Henry Cavill Helena Bonham Carter,Daniel Pemberton,Giles Nuttgens,Adam Bosman,Legendary Pictures PCMA Productions,Netflix,23-Sep-20,121 minutes,"United Kingdom, New Zealand",English,,,121,,,23-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,
279,The Boys in the Band,Joe Mantello,Ryan Murphy David Stone Joe Mantello Ned Martel Alexis Martin Woodall,Mart Crowley Ned Martel,"['The Boys in the Band', 'by Mart Crowley']",Jim Parsons Zachary Quinto Matt Bomer Andrew Rannells Charlie Carver Robin de Jesús Brian Hutchison Michael Benjamin Washington Tuc Watkins,,Bill Pope,Adriaan van Zyl,,Netflix,30-Sep-20,122 minutes,United States,English,,,122,,,30-09-20,,,,,Ryan Murphy Productions,,,,,,,,,,,,,,,,,,,,,
280,Pasal Kau!,Adrian Teh,Adrian Teh,Shamaine Othman/Nazri Annuar,,"['Hairul Azreen', 'Janna Nick', 'Amerul Affendi', 'Namron', 'Henley Hii']",,Yong Choon Lin,Lee Pai Seang,,Netflix,1 October 2020 (Netflix),1 hour 42 minutes,Malaysia,"['Malay', 'some English']",,,1,,,01-10-20,,,,,ACT 2 Pictures,Hairul Azreen,,,,,,,,,,,,,,,,,,,,
281,Oloture,Kenneth Gyang,Heidi Uys Temidayo Abudu James Amuta,Yinka Ogun Craig Freimond,,Beverly Osu Sharon Ooja Omowumi Dada,Kulanen Ikyo,Malcolm Mclean,Victoria Akujobi Johnson Awolola,,Netflix,"October 31, 2019 (Tunisia) October 2, 2020 (Netflix)",106 minutes,Nigeria,English,,,106,,,31-10-19,,,,,EbonyLife Films,Mo Abudu Heidi Uys,,,,,,,,,,,,,,,,,,,,
282,Serious Men,Sudhir Mishra,"['Sudhir Mishra', 'Bhavesh Mandalia', 'Sejal Shah']",,Serious Men by Manu Joseph,Nawazuddin Siddiqui Indira Tiwari Nassar Aakshath Das Sanjay Narvekar Shweta Basu Prasad Yogesh Yadav,Karel Antonin,Alexander Sukala,Atanu Mukherjee,,Netflix,02-Oct-20,114 minutes,India,Hindi,,,114,,,02-10-20,,,,"['Bhavesh Mandalia', 'Abhijeet Khuman', 'Niren Bhatt', 'Nikhil Nair']","['Bombay Fables', 'Cineraas Entertainment']",,,,,,,,,,,,,,,,,,,,,
283,The Binding,Domenico Emanuele de Feudis,,,,Riccardo Scamarcio Michael C. Pizzuto Federica Rosellini,,,,,Netflix,02-Oct-20,93 minutes,Italy,Italian,,,93,,,02-10-20,,,,Daniele Cosci Davide Orsini Domenico Emanuele de Feudis,,,,,,Il legame,,,,,,,,,,,,,,,,
284,Vampires vs. the Bronx,Oz Rodriguez,Lorne Michaels Erin David Bert Hamelinck Michael Sagol,Oz Rodriguez Blaise Hemingway,,Jaden Michael Gerald W. Jones III Gregory Diaz IV Coco Jones,Will Blair Brooke Blair,Blake McClure,Alex O'Flinn Sara Shaw,,Netflix,02-Oct-20,86 minutes,United States,English,,,86,,,02-10-20,,,,,Broadway Video Caviar,Oz Rodriguez,,,,,,,,,,,,,,,,,,,,
285,You've Got This,Salvador Espinosa,,,,Mauricio Ochmann Esmeralda Pimentel,,,,,Netflix,02-Oct-20,111 minutes,Mexico,Spanish,,,111,,,02-10-20,,,,Tiaré Scanda Leonardo Zimbrón,,,,,Ahí te Encargo,,,,,,,,,,,,,,,,,
286,Hubie Halloween,Steven Brill,Adam Sandler Kevin Grady Allen Covert,,,Adam Sandler Kevin James Julie Bowen Ray Liotta Rob Schneider June Squibb Kenan Thompson Shaquille O'Neal Steve Buscemi Maya Rudolph Tim Meadows Karan Brar Paris Berelc Noah Schnapp China Anne McClain Michael Chiklis,Rupert Gregson-Williams,Seamus Tierney,Tom Costain Brian Robinson JJ Titone,,Netflix,07-Oct-20,102 minutes,United States,English,,,102,,,07-10-20,,,,Tim Herlihy Adam Sandler,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
287,Ginny Weds Sunny,Puneet Khanna,Vinod Bachchan,,,"['Yami Gautam', 'Vikrant Massey']","['Score:', 'Prasad Sashte', 'Songs:', 'Payal Dev', 'Gaurav Chatterji', 'Jaan Nissar Lone']",Nuthan Nagaraj,Sandeep Sethy,,Netflix,09-Oct-20,125 minutes,India,Hindi,,,125,,,09-10-20,,,,"['Navjot Gulati', 'Sumit Arora']",Soundrya Production,,,,,,,,,,,,,,,,,,,,,
288,The 40-Year-Old Version,Radha Blank,Lena Waithe Jordan Fudge Radha Blank Inuka Bacote-Capiga Jennifer Semler Rishi Rajani,,,Radha Blank Peter Kim Oswin Benjamin Reed Birney,Guy C. Routte,Eric Branco,Robert Grigsby Wilson,New Slate Ventures Hillman Grad Productions Endeavor Content,Netflix,"January 25, 2020 ( Sundance ) October 9, 2020 (United States)",129 minutes,United States,English,,,129,,,25-01-20,,,,Radha Blank,,,,,,,,,,,,,,,,,,,,,,
289,A Babysitter's Guide to Monster Hunting,Rachel Talalay,Ivan Reitman Amie Karp,Joe Ballarini,"[""A Babysitter's Guide to Monster Hunting"", 'by Joe Ballarini']",Tamara Smart Oona Laurence Ian Ho Troy Leigh-Anne Johnson Lynn Masako Cheng Ty Consiglio,Matthew Margeson,Gregory Middleton,Stein Myhrstad,,Netflix,15-Oct-20,94 minutes,United States,English,,,94,,,15-10-20,,,,,The Montecito Picture Company Walden Media,,,,,,,,,,,,,,,,,,,,,
290,Love Like the Falling Rain,Lasja Fauzia,,,"['Seperti Hujan Yang Jatuh Ke Bumi', 'by Boy Candra']",Jefri Nichol Aurora Ribero Axel Matthew Thomas,,,,"['IFI Sinema', 'Screenplay Films']",Netflix,15-Oct-20,86 minutes,Indonesia,Indonesian,,,86,,,15-10-20,,,,Upi Avianto Boy Candra Piu Syarif,,,,,,,,,,,,,,Seperti Hujan Yang Jatuh Ke Bumi,,,,,,,,
291,The Trial of the Chicago 7,Aaron Sorkin,Stuart M. Besser Matt Jackson Marc Platt Tyler Thompson,,,Yahya Abdul-Mateen II Sacha Baron Cohen Daniel Flaherty Joseph Gordon-Levitt Michael Keaton Frank Langella John Carroll Lynch Eddie Redmayne Noah Robbins Mark Rylance Alex Sharp Jeremy Strong,Daniel Pemberton,Phedon Papamichael,Alan Baumgarten,,Netflix,"September 25, 2020 (United States)",130 minutes,United States,English,$35 million,"$107,423 ",130,35000000,107423,25-09-20,,,,Aaron Sorkin,DreamWorks Pictures Cross Creek Pictures Alibaba Pictures Marc Platt Productions Amblin Partners,,,,,,,,,,,,,,,,,,,,,
292,Rebecca,Ben Wheatley,Tim Bevan Eric Fellner Nira Park,Jane Goldman Joe Shrapnel Anna Waterhouse,"['Rebecca', 'by', 'Daphne du Maurier']",Lily James Armie Hammer Kristin Scott Thomas,Clint Mansell,Laurie Rose,Jonathan Amos,,Netflix,16 October 2020 (United Kingdom),121 minutes,United Kingdom,English,,,121,,,16-10-20,,,,,Working Title Films,,,,,,,,,,,,,,,,,,,,,
293,Cadaver,Jarand Herdal,,,,Gitte Witt Thomas Gullestad Thorbjørn Harr,Jonathan Sigsworth,Jallo Faber,Jens Peder Hertzberg,Motion Blur SF Studios,Netflix,22-Oct-20,86 minutes,Norway,Norwegian,,,86,,,22-10-20,,,,Jarand Herdal,,,,,,,,,,,,,,,,Kadaver,,,,,,
